標記內容	宣傳手法	原句	
崩盤	LL	國民黨 崩盤 ，	
反擊	LL	握 著 拳頭 誓言 「 反擊 」 ！	
反擊	LL	他 的 「 反擊 」 ，	
危機	LL	台灣 今天 真的 面臨 了 罕見 的 危機 ，	
淪為	LL	那麼 一次次 的 投票 將 淪為 線 上 遊戲 ，	
遊戲	LL	那麼 一次次 的 投票 將 淪為 線 上 遊戲 ，	
覺醒	LL	台灣 人民 需要 更 高程度 的 覺醒 ，	
強 渡 關山	LL	馬政府 在 打烊 前夕 仍 想 強 渡 關山 推動 洗腦 工程 ，	
洗腦	LL	馬政府 在 打烊 前夕 仍 想 強 渡 關山 推動 洗腦 工程 ，	
黑箱	LL	微調 過程 極其 黑箱 ，	
恐嚇	LL	教育部 、 國教院 還 不斷 恐嚇 書商 、 教師 ，	
黑箱	LL	去年 的 黑箱 服貿 ，	
黑箱	LL	馬政府 跟 老共 搞出 一 個 黑箱 ，	
老共	LL	馬政府 跟 老共 搞出 一 個 黑箱 ，	
黑箱	LL	想 用 「 半 分 忠 」 把 黑箱 漂白 ，	
漂白	LL	想 用 「 半 分 忠 」 把 黑箱 漂白 ，	
黑 箱	LL	全民 蜂擁 而 起 支持 反黑 箱 服貿 。	
崩盤	LL	馬英九 的 國民黨 崩盤 。	
黑 箱	LL	反黑 箱 微調 課綱 行動 ，	
遍 地 開花	LL	也 在 全 國 高中職 遍 地 開花 ，	
覺醒	LL	這 是 年輕人 反 洗腦 的 集體 覺醒 。	
黑 箱	LL	面對 反黑 箱 課綱 的 燎原 之 火 ，	
燎原 之 火	LL	面對 反黑 箱 課綱 的 燎原 之 火 ，	
悲哀	LL	更 悲哀 的 是 ，	
霸凌	LL	只 想 霸凌 。	
黑箱	LL	黑箱 服貿 ，	
黑箱	LL	黑箱 課綱 ，	
黑箱	LL	黑箱 微調 課綱 那 批 人 想 的 ，	
風險	LL	他們 想 把 幸福 台灣 連結 風險 中國 ，	
錯誤	LL	催眠 他們 錯誤 產生 幸福感 的 幻覺 ，	
幸福感	LL	催眠 他們 錯誤 產生 幸福感 的 幻覺 ，	
幻覺	LL	催眠 他們 錯誤 產生 幸福感 的 幻覺 ，	
黑箱	LL	那些 「 黑箱 集團 」 完全 錯 了 ！	
錯	LL	那些 「 黑箱 集團 」 完全 錯 了 ！	
謊言	LL	他們 的 「 懶人 包 」 往往 就是 炸毀 謊言 世界 的 原子彈 。	
炸毀	LL	他們 的 「 懶人 包 」 往往 就是 炸毀 謊言 世界 的 原子彈 。	
原子彈	LL	他們 的 「 懶人 包 」 往往 就是 炸毀 謊言 世界 的 原子彈 。	
淪為	LL	股市 、 房市 淪為 殺戮 戰場 ，	
殺戮=	LL	股市 、 房市 淪為 殺戮 戰場 ，	
戰場	LL	股市 、 房市 淪為 殺戮 戰場 ，	
綑綁	LL	體制 綑綁 令 大人 無能為力 之 際 ，	
無能為力	LL	體制 綑綁 令 大人 無能為力 之 際 ，	
挺身而出	LL	大學生 、 高中職 生 挺身而出 ，	
害	LL	想 害 台灣 的 人 卻 要 注意 了 ：	
黑箱	LL	你們 再 黑箱 黑心 ，	
黑心	LL	你們 再 黑箱 黑心 ，	
傷害	LL	不要 讓 人民 受 傷害 」 。	
恐怖	LL	白色恐怖 、 戒嚴 統治 期間 ，	
傲慢	LL	從而 表現出 一 種 民主 勢力 甚至 台灣 人民 永遠 都 對 他 有所 虧欠 的 傲慢 。	
併吞	LL	且 與 意圖 併吞 台灣 的 共匪 裡應外合 ，	
障眼法	LL	必須 看透 這 種 障眼法 。	
嚴厲	LL	也 嚴厲 指責 民進黨 ，	
物以類聚	LL	加上 她 所 推出 的 「 國安 顧問團 」 顯 有 物以類聚 的 特質 ，	
掌控	LL	以致 國民黨 極 可能 落入 死硬派 掌控 ，	
危害	LL	洪秀柱 指摘 「 分離 主義 」 從 安全 、 鎖國 、 經濟 、 社會 危害 台灣 ，	
嚴厲	LL	其 口氣 之 嚴厲 ，	
譴責	LL	較諸 同 一 天 在 北京 譴責 美國 高度 禮遇 民進黨 主席 蔡英文 的 中國 國台辦 發言人 馬曉光 ，	
錯誤	LL	不 向 台獨 發出 錯誤 訊號 。	
有志一同	LL	國共 兩 黨 反 「 台獨 」 有志一同 ，	
背道而馳	LL	顯 與 台灣 民意 背道而馳 。	
脫節	LL	卻 與 廣大 民意 脫節 ；	
失敗 的	LL	一如 政治 上 因 偏執 而 自 招 失敗 的 政客 通病 ，	
通病	LL	一如 政治 上 因 偏執 而 自 招 失敗 的 政客 通病 ，	
黑箱	LL	就 不至於 在 高中 黑箱 課綱 至今 仍 恣意妄為 ，	
併吞	LL	與 公然 宣稱 要 以 包括 武力 併吞 台灣 的 中國 簽訂 和平 協定 ，	
執迷不悟	LL	它 若 執迷不悟 ，	
黑箱	LL	反 黑箱 課綱 微調 ，	
玩弄	LL	執政 期間 玩弄 政商 關係 ，	
濫	LL	將 美麗 之 島 重 汙染 、 濫 開發 ，	
背離	LL	完全 背離 台灣 主體性 的 外來 政權 史觀 。	
黑箱	LL	黑箱 課綱 微調 ，	
被迫	LL	年輕 世代 被迫 集體 反抗 ，	
黑箱	LL	到 高中職 生 為主 的 反 黑箱 課綱 微調 ，	
淪為	LL	卻 要 終身 淪為 那些 老人 的 黨國 奴隸 ，	
奴隸	LL	卻 要 終身 淪為 那些 老人 的 黨國 奴隸 ，	
反擊	LL	堪稱 老人 的 「 反擊 」 。	
陳腔濫調	LL	通 篇 只 見 「 提升 國際 能見度 」 、 「 融入 區域 經濟 整合 」 、 「 增進 跨國 商機 」 、 「 增加 兩岸 合作 方案 」 之類 陳腔濫調 ，	
打壓	LL	是 中國 從未 鬆手 的 國際 打壓 。	
對付	LL	是 中國 對付 台灣 的 現在 進行式 。	
陷阱	LL	須 趁 中國 落入 中等 收入 的 陷阱 ，	
困境	LL	台灣 的 外交 困境 ，	
恐嚇	LL	來日 卻 可以 做為 恐嚇 新 政權 的 工具 ，	
危機	LL	邦交國 大量 斷交 的 可能 危機 ，	
黑箱	LL	高中職 生 的 反 黑箱 課綱 ，	
黑箱	LL	社論 》 我們 站 在 反 黑箱 課綱 學生 這邊	
黑箱	LL	儘管 眾多 中學生 堅決 反對 黑箱 課綱 ，	
黑箱	LL	它 黑箱 作業 ，	
一意孤行 ，	LL	仍 一意孤行 ，	
詬病	LL	尤 遭 詬病 。	
黑箱	LL	教育部 卻 黑箱 作業 ，	
圖謀	LL	既 以 「 中國化 」 為 圖謀 ，	
蠻幹	LL	教育部 仍 一味 蠻幹 。	
黑箱	LL	要求 「 捍衛 教育 尊嚴 、 退回 黑箱 課綱 」 ；	
黑箱	LL	清楚 思辨 且 凝聚 反 黑箱 課綱 各 項 議題 。	
執迷不悟	LL	顯然 執迷不悟 。	
灰頭土臉	LL	最終 搞 到 灰頭土臉 。	
黑箱	LL	今天 學生 要求 撤回 黑箱 課綱 期限 將屆 ，	
黑箱	LL	用 不 正義 程序 、 毫無 專業 素養 、 黑箱 作業 ，	
恐嚇	LL	中國 官員 一再 恐嚇 ：	
唾棄	LL	遭到 民意 唾棄 ，	
黑箱	LL	黑箱 服 貿 終於 導致 太陽 花 學運 佔領 立法院 議場 ，	
黑箱	LL	黑箱 課綱 終於 導致 高中職 生 群起 反 洗腦 ，	
無能	LL	治國 無能 ，	
反擊	LL	又 對 台灣 人民 痛快 「 反擊 」 ，	
四面 埋伏	LL	才能 「 反擊 」 聯共制台 的 四面 埋伏 。	
反擊	LL	才能 「 反擊 」 聯共制台 的 四面 埋伏 。	
黑箱	LL	阻擋 了 黑箱 服貿 協議 ，	
黑箱	LL	反 黑箱 課綱 的 高中職生 ，	
剝奪	LL	卻 隨著 成長 逐漸 被 剝奪 。	
危機	LL	對 此 內部 危機 視若無睹 ，	
視若無睹	LL	對 此 內部 危機 視若無睹 ，	
黑箱	LL	黑箱 為之 ；	
黑箱	LL	洗腦 「 民主 之 子 」 的 黑箱 課綱 ，	
洗腦	LL	洗腦 「 民主 之 子 」 的 黑箱 課綱 ，	
一意孤行 ，	LL	仍 一意孤行 ，	
黑箱	LL	黑箱 為之 。	
可笑	LL	真是 可笑 ，	
黑箱	LL	反 黑箱 服貿 、 反 黑箱 課綱 ，	
慢半拍	LL	政黨 勢力 慢半拍 ，	
抹黑	LL	刻意 抹黑 ，	
霸凌	LL	完全 霸凌 人民 意志 ，	
打壓	LL	打壓 十八 歲 公民權 是 沒有用 的 ，	
崩盤	LL	類似 九 合一 選舉 崩盤 ，	
黑箱	LL	卻 被 三○ 人 、 數百人 或 數十萬 人 以 『 不 民主 』 、 『 黑箱 』 為由 ，	
癱瘓	LL	是 不 是 可以 拿來 癱瘓 二○一六 選出 的 民選 政府 ？	
癱瘓	LL	那麼 現在 所有 用來 癱瘓 二○一二 民選 政府 的 理由 ，	
嚴重	LL	警察 濫權 並 不 是 那麼 嚴重 的 事 ，	
暴力	LL	有 權 者 總 希望 無 權 者 不要 計較 其 為 意志 貫徹 所 施加 的 暴力 。	
可笑	LL	真是 可笑 ，	
遍 地 開花	LL	引起 公民 之 怒 遍 地 開花 ，	
黑箱	LL	黑箱 服貿 協議 ，	
黑箱	LL	黑箱 課綱 微調 ，	
恐怖	LL	從 二二八 屠殺 、 白色恐怖 以來 ，	
覺醒	LL	九 合一 選舉 「 暴民 」 普遍 覺醒 了 ，	
反擊	LL	處心積慮 要 反擊 人民 的 「 暴政 集團 」 ，	
恐怖	LL	二○一六 恐怕 要 面對 更 恐怖 的 「 選票 大 暴動 」 了 。	
謊言	LL	「 大概 是 現代 世界 持續 時間 最 久 、 輿論 力量 捲入 最多 的 一 個 謊言 」 。	
謊言	LL	現代 世界 持續 時間 最 久 、 輿論 力量 捲入 最多 的 一 個 謊言 ，	
併吞	LL	中國 併吞 西藏 所 需 付出 的 代價 ，	
矛盾	LL	將 西藏 的 矛盾 推到 新 的 高點 ，	
謊言	LL	中國 舉世 矚目 的 「 謊言 」 ，	
譴責	LL	聲援 西藏 、 譴責 中國 ，	
謊言	LL	這些 聲明 「 馬上 」 證明 也 是 「 謊言 」 。	
專制	LL	必須 臣服 於 中國 專制 政權 。	
謊言	LL	但 那 個 假動作 也 證明 是 個 「 謊言 」 。	
霸凌	LL	馬英九 也 是 打 著 人權 公約 霸凌 民主 自由 人權 。	
開門揖盜	LL	竟 成 開門揖盜 的 「 聯共制台 」 。	
謊言	LL	馬英九 的 「 謊言 」 終於 被 拆穿 了 ，	
無能	LL	治國 無能 、 藍 綠 共憤 ，	
共憤	LL	治國 無能 、 藍 綠 共憤 ，	
謊言	LL	不約而同 拆穿 「 中華民國頌 」 的 「 謊言 」 ，	
危機	LL	這 是 外來 黨國 的 危機 ，	
威脅	LL	除了 對 台 武力 威脅 逐年 上升 ，	
嚴重	LL	正 是 「 台灣 關係法 」 所 嚴重 關切 。	
唾棄	LL	被 民意 唾棄 的 馬英九 ，	
置若罔聞	LL	對 多數 民意 置若罔聞 ，	
被迫	LL	「 被迫 參選 」 者 笑罵 由 人 ，	
謊言	LL	六三三成 為 謊言 的 專有名詞 。	
撐腰	LL	二 是 老共 撐腰 ，	
謊言	LL	乘 著 馬英九 的 世紀 謊言 重 回 執政 。	
危機	LL	恐怕 才 是 台灣 正常化 的 最 大 危機 吧 ？	
困境	LL	如何 掙脫 二○○○年 至今 的 民主 困境 ，	
置若罔聞	LL	主流 民意 置若罔聞 ，	
恐怖	LL	難道 還 不 足以 警惕 兩 黨 「 壟斷性 競爭 」 的 恐怖 ？	
黑箱	LL	社論 》 中國 證實 國共 藉 兩岸 黑箱 牟私	
牟私	LL	社論 》 中國 證實 國共 藉 兩岸 黑箱 牟私	
黑箱	LL	兩岸 政商 以 黑箱 作業 牟取 少數 特定人 的 利益 ；	
嚴厲	LL	經 此 嚴厲 的 監督 ，	
一針見血	LL	一針見血 ，	
諷刺	LL	這 是 一 大 諷刺 。	
黑箱	LL	以 此 來 摒棄 黑箱 決定 、 暗室 作業 、 圖利 權貴 的 既有 國共 關係 。	
摒棄	LL	以 此 來 摒棄 黑箱 決定 、 暗室 作業 、 圖利 權貴 的 既有 國共 關係 。	
暗室 作業	LL	以 此 來 摒棄 黑箱 決定 、 暗室 作業 、 圖利 權貴 的 既有 國共 關係 。	
圖利	LL	以 此 來 摒棄 黑箱 決定 、 暗室 作業 、 圖利 權貴 的 既有 國共 關係 。	
嚴峻	LL	台灣 未來 的 新 政府 恐怕 將 面臨 兩岸 環境 丕變 所 帶來 的 嚴峻 挑戰 ，	
大肆	LL	大肆 吹擂 政績 ，	
威脅	LL	安峰山 不但 宣稱 「 炒作 所謂 大陸 對 台 軍事 威脅 ，	
衝突	LL	而 共軍 能 在 爆發 衝突 時 ，	
對付	LL	中國 對付 台灣 採取 「 溫水 煮 青蛙 」 策略 ，	
提供 柴火 	LL	就是 為 中國 向 台灣 社會 提供 柴火 、 增添 溫水 的 幫凶 。	
增添 溫水	LL	就是 為 中國 向 台灣 社會 提供 柴火 、 增添 溫水 的 幫凶 。	
打壓	LL	他們 看到 中國 在 國際 間 不斷 打壓 台灣 ，	
恐嚇	LL	對 台灣 常 出言 恐嚇 ，	
低迷	LL	反映 在 它 因 不得 民心 而 極度 低迷 的 人氣 。	
可笑	LL	真是 可笑 的 鬧劇 一 場 。	
鬧劇	LL	真是 可笑 的 鬧劇 一 場 。	
致命	LL	國民黨 的 致命 要害 ，	
危害	LL	怎能 不 危害 台灣 ，	
背離	LL	國民黨 執意 背離 民意 ，	
黑箱	LL	反 黑箱 課綱 ，	
黑箱	LL	反 黑箱 服 貿 ，	
黑箱	LL	反 黑箱 課綱 ，	
黑箱	LL	社論 》 終結 黑箱 治國 清理 民主 廢墟	
不顧	LL	不顧 民意 ，	
黑箱	LL	七 年 多 來 「 黑箱 治國 」 成為 常態 。	
黑箱	LL	立法院長 不 配合 儘速 通過 黑箱 服 貿 ，	
濫用	LL	加緊 濫用 權力 ，	
黑箱	LL	將 「 黑箱 治國 」 發揮 到 淋漓盡致 。	
黑箱	LL	堪稱 台灣 最 大 的 黑箱 。	
賣台	LL	嘴巴 說 絕不 會 「 賣台 」 ，	
揭露	LL	不 是 在 本報 獨家 揭露 之後 ，	
併吞	LL	以及 意圖 併吞 台灣 的 習近平 ，	
黑箱	LL	如果 這 不 叫 黑箱 ，	
黑箱	LL	怎樣 才 叫 黑箱 ？	
黑箱	LL	「 馬式 獨裁 」 還 有 多少 黑箱 正在 進行 ？	
黑箱	LL	還 有 多少 黑箱 未 被 揭露 ？	
黑箱	LL	包藏 多少 禍國殃民 的 黑箱 ，	
禍國殃民	LL	包藏 多少 禍國殃民 的 黑箱 ，	
黑箱	LL	依 「 黑箱 治國 」 的 操作 ，	
操作	LL	依 「 黑箱 治國 」 的 操作 ，	
傷害	LL	豈非 二 度 傷害 民主 ？	
嚴重	LL	所 承接 的 都 是 馬英九 所 留下 的 爛攤子 ︰ 一 個 陷入 嚴重 困境 的 台灣 ，	
爛攤子	LL	所 承接 的 都 是 馬英九 所 留下 的 爛攤子 ︰ 一 個 陷入 嚴重 困境 的 台灣 ，	
困境	LL	所 承接 的 都 是 馬英九 所 留下 的 爛攤子 ︰ 一 個 陷入 嚴重 困境 的 台灣 ，	
嚴厲	LL	正 因 國家 社會 面臨 如此 嚴厲 挑戰 ，	
可笑	LL	可笑 的 是 ，	
打壓	LL	同樣 只有 中國 在 國際 外交 打壓 台灣 ，	
封殺	LL	中國 不但 在 國際 組織 封殺 台灣 加入 ，	
打壓	LL	中國 的 打壓 ，	
嚴重	LL	他們 都 犯 了 嚴重 的 斯德哥爾摩 症候群 ︰ 犯罪 的 被害 者 對於 加害 者 產生 情感 ，	
門戶 洞開	LL	須 再 往 門戶 洞開 的 方向 推進 。	
障礙	LL	最 大 障礙 就是 中國 阻撓 。	
卑躬屈膝	LL	馬 政府 對 中國 卑躬屈膝 ，	
最 爛	LL	則 遭 自己人 評為 史 上 最 爛 ，	
淪為	LL	朱立倫 上任 之初 的 改革 淪為 口號 ，	
口號	LL	朱立倫 上任 之初 的 改革 淪為 口號 ，	
操作	LL	政治 操作 過度 權謀 ，	
權謀	LL	政治 操作 過度 權謀 ，	
致命	LL	更 致命 的 是 馬英九 執政 失敗 ，	
失敗	LL	更 致命 的 是 馬英九 執政 失敗 ，	
黑箱	LL	他 甚至 把 黑箱 馬習 會 引起 國內 輿論 批評 聲浪 ，	
不顧	LL	其實 只是 馬英九 、 朱立倫 「 只 顧 一 中 、 不顧 台灣 」 的 顯性 版本 ，	
黑箱	LL	馬英九 的 「 黑箱 政治 」 ，	
不屑一顧	LL	以致 對 台灣 民意 不屑一顧 ？	
衝擊	LL	受 衝擊 的 只是 獨享 黨國 體制 利益 的 少數 權貴 ，	
淪為	LL	以致 淪為 橡皮 圖章 。	
一意孤行 ，	LL	即使 執政 者 一意孤行 ，	
失靈	LL	以 「 太陽 花 」 運動 對 立院 審議 「 服 貿協 議 」 所 凸顯 的 代議 政治 失靈 強力 反應 ，	
寶貴 的	LL	亟應 掌握 寶貴 的 「 憲改 時刻 」 ，	
封殺	LL	當初 封殺 憲改案 的 政黨 主席 重提 憲改案 ，	
最 爛	LL	不 分區 名單 被 黨 內 批評為 史 上 最 爛 ，	
左右	LL	老共 卻 以 各 種 手法 左右 民意 ，	
輕忽	LL	不可 輕忽 。	
淪為	LL	久而久之 民主 也 就 淪為 裝飾品 ，	
淪為	LL	無法 改變 台灣 淪為 中國 「 屬地 」 的 本質 ，	
傷害	LL	德國 人民 也 受到 嚴重 傷害 。	
恐嚇	LL	這 根本 就是 意在 弦 外 的 恐嚇 ，	
威脅	LL	以 看 不 見 的 恐怖 來 威脅 台灣 人民 ，	
錯誤	LL	二○○八 、 二○一二年 台灣 人民 的確 做出 錯誤 的 判斷 ，	
謊言	LL	誤信 那些 向 台灣 靠攏 的 謊言 ，	
失 能	LL	遂 令 「 中華 台北隊 」 搞 得 台灣 民主 失 能 、 政府 失靈 、 經濟 失血 、 人民 失業 。	
失靈	LL	遂 令 「 中華 台北隊 」 搞 得 台灣 民主 失 能 、 政府 失靈 、 經濟 失血 、 人民 失業 。	
遍 地 開花	LL	公民 意識 遍 地 開花 了 ；	
一意孤行	LL	但 一意孤行 追求 終極 統一 ，	
困境	LL	導致 國計民生 陷入 困境 ，	
傷害	LL	傷害到 自己 的 事業 ，	
傷害	LL	更 傷害到 台灣 的 根基 。	
情何以堪 。	LL	真 叫 王如玄 情何以堪 。	
抹黑	LL	不擇手段 抹黑 所謂 的 「 宇昌案 」 ，	
衝擊	LL	此 一 明顯 意在 降低 大選 衝擊 的 決議 ，	
抹黑	LL	從 抹黑 所謂 的 「 宇昌案 」 ，	
背道而馳	LL	有 人 根本 與 民意 背道而馳 ，	
站 在 同 一 邊	LL	有 人 本質 上 與 民意 站 在 同 一 邊 ，	
若即若離	LL	但 為了 保留 權力 轉圜 空間 刻意 與 民意 若即若離 。	
反感	LL	連 所謂 的 「 鐵票 」 都 反感 ，	
放任	LL	還 放任 烏賊 戰術 搞 黑 戰場 ，	
搞 黑	LL	還 放任 烏賊 戰術 搞 黑 戰場 ，	
戰場	LL	還 放任 烏賊 戰術 搞 黑 戰場 ，	
罔顧	LL	習於 罔顧 民意 ，	
背離	LL	例如 國民黨 之 背離 民意 ，	
當頭棒喝	LL	以致 遭 民意 當頭棒喝 ；	
覺醒	LL	普遍 覺醒 的 公民 意識 ，	
落伍	LL	維持 現狀 就是 落伍 ，	
危機	LL	捱過 災難 、 苦悶 、 危機 的 二○一五年 ，	
災難	LL	捱過 災難 、 苦悶 、 危機 的 二○一五年 ，	
苦悶	LL	捱過 災難 、 苦悶 、 危機 的 二○一五年 ，	
困境	LL	新 的 一 年 可能 是 當前 困境 的 延續 ，	
凌駕	LL	已 因 黨意 永遠 凌駕 民意 ，	
失靈	LL	導致 代議 政治 嚴重 失靈 。	
危機	LL	都 出現 極 大 的 瓶頸 、 困境 或 危機 。	
瓶頸	LL	都 出現 極 大 的 瓶頸 、 困境 或 危機 。	
困境	LL	都 出現 極 大 的 瓶頸 、 困境 或 危機 。	
嚴重	LL	民生 經濟 的 問題 最 嚴重 ，	
嚴重	LL	而是 台灣 從 產業 競爭力 到 經濟 發展 模式 已 出現 嚴重 偏差 與 問題 。	
衝擊	LL	但 中國 因素 對 台灣 經濟 的 衝擊 ，	
嚴重	LL	以致 投資 、 創新 、 上進 、 升級 嚴重 不足 ，	
向 中國 靠攏	LL	一切 向 中國 靠攏 。	
粗暴	LL	但 以 手法 粗暴 醜陋 ，	
醜陋	LL	但 以 手法 粗暴 醜陋 ，	
罔顧	LL	罔顧 基本 溝通 及 程序 正義 ，	
被迫	LL	被迫 中止 。	
困境	LL	台灣 延續 當前 困境 ，	
謊言	LL	顯示 馬英九 的 世紀 謊言 ，	
遍 地 開花	LL	乃至 遍 地 開花 的 公民 運動 ，	
強 渡 關山	LL	肇因 於 馬 政權 想 把 黑箱 服 貿 協議 強 渡 關山 。	
危害	LL	危害 台灣 一言難盡 ，	
向 中國 傾斜	LL	社論 》 拒絕 再 向 中國 傾斜	
向 中國 傾斜	LL	都 根源於 馬英九 政府 過度 向 中國 傾斜 。	
向 中國 傾斜	LL	台灣 不容 再 向 中國 傾斜 。	
無視	LL	對 馬 政府 妄圖 通過 與 中國 的 服貿 協議 且 無視 民意 及 程序 正義 ，	
正義	LL	對 馬 政府 妄圖 通過 與 中國 的 服貿 協議 且 無視 民意 及 程序 正義 ，	
一意孤行 ，	LL	執迷不悟 的 當事人 一 年 來 仍 一意孤行 ，	
執迷不悟	LL	執迷不悟 的 當事人 一 年 來 仍 一意孤行 ，	
低迷	LL	國民黨 選情 低迷 不足 惜 ，	
淪為	LL	卻 因 過度 傾中 將 淪為 「 衰退 俱樂部 」 一 員 。	
威脅	LL	卻 飽受 中國 文攻武嚇 威脅 ︰ 中國 不僅 對 台灣 部署 幾千 枚 飛彈 ，	
恐嚇	LL	它 出言 恐嚇 ，	
打壓	LL	突破 中國 對 台灣 國際 打壓 封鎖 的 努力 ，	
傷害	LL	針對 中國 傷害 台灣 的 反制 政策 作為 ，	
向 中國 傾斜	LL	全面 而 積極 推動 向 中國 傾斜 ，	
門戶 洞開	LL	只是 對 中國 門戶 洞開 ；	
傷害	LL	因此 是 台灣 人民 向 嚴重 傷害 台灣 的 傾中 政策 再一次 說 不 的 機會 。	
動盪	LL	中國 遭逢 股匯 金融 市場 動盪 ，	
向 中國 傾斜	LL	拒絕 再 向 中國 傾斜 ，	
黑箱	LL	到 反 黑箱 課綱 ，	
封殺	LL	不 也 在 「 台獨 剋星 」 出現 前 便 遭 中國 封殺 嗎 ？	
恐嚇	LL	以致 仍 被 當作 台獨 來 地 動 山搖 地 恐嚇 ；	
反感	LL	台灣 對 中國 的 反感 ，	
利用	LL	懂得 利用 老共 的 狂妄 來 牟利 ，	
狂妄	LL	懂得 利用 老共 的 狂妄 來 牟利 ，	
牟利	LL	懂得 利用 老共 的 狂妄 來 牟利 ，	
封殺	LL	一旦 「 台獨 」 這 個 「 主要 敵人 」 被 徹底 封殺 了 ，	
撤旗	LL	老共 面前 撤旗 、 老共 背後 搖旗 ，	
搖旗	LL	老共 面前 撤旗 、 老共 背後 搖旗 ，	
危機	LL	堪稱 王金平 從政 以來 的 最 大 危機 。	
灰頭土臉	LL	結果 灰頭土臉 、 自討沒趣 ，	
自討沒趣	LL	結果 灰頭土臉 、 自討沒趣 ，	
震撼	LL	除非 出 之 以 革命性 的 震撼 療法 。	
辜負	LL	如果 辜負 民意 ，	
危機	LL	台灣 將 面臨 回天乏術 的 危機 。	
回天乏術	LL	台灣 將 面臨 回天乏術 的 危機 。	
淪為	LL	憲政 制度 可能 淪為 因 人 設 事 ，	
背離	LL	加速 背離 民意 ，	
濫用	LL	如此 濫用 人民 付託 ，	
遍 地 開花	LL	公民 運動 遍 地 開花 ，	
嚴厲	LL	成為 在野 後 的 嚴厲 挑戰 。	
打壓	LL	官方 旋即 展開 打壓 異議 行動 ，	
壓制	LL	批評 官媒 「 姓黨 不 姓 人民 」 的 商人 任 志強 微博立 遭 壓制 ，	
恐怖	LL	以及 「 反 恐怖 主義法 」 、 「 網路 安全法 」 、 「 境 外 非 政府 組織 管理法 」 等 草案 引發 國際 社會 的 人權 關切 ，	
專制	LL	在在 顯現 習 政權 的 專制 程度 深化 。	
嚴厲	LL	是 對 中共 政權 的 嚴厲 警示 。	
動盪	LL	金融 動盪 ，	
動盪	LL	開年 即 遇 金融 動盪 襲擊 ，	
襲擊	LL	開年 即 遇 金融 動盪 襲擊 ，	
硬	LL	經濟 能否 免於 硬 著陸 就是 極 大 難題 。	
併吞	LL	它 併吞 台灣 的 野心 毫不 掩飾 ，	
恐嚇	LL	台灣 人民 無懼 習近平 及 台灣 政媒 聯手 恐嚇 ，	
醜陋	LL	國民黨 上 屆 立委 在 此 法案 的 「 半 分 忠 」 醜陋 演出 ，	
演出	LL	國民黨 上 屆 立委 在 此 法案 的 「 半 分 忠 」 醜陋 演出 ，	
淪為	LL	監督 條例 不容 淪為 「 不 監督 條例 」 。	
卑躬屈膝	LL	馬 政府 及 國民黨 掌控 的 國會 對 中國 卑躬屈膝 ，	
傷害	LL	不只 嚴重 傷害 台灣 ，	
併吞	LL	必 可 有力 地 因應 中國 併吞 攻勢 。	
失靈	LL	失靈 的 代議 政治 為 改革 首要 目標 。	
傷害	LL	卻 傷害 以 年輕 世代 為主 的 普羅 大眾 。	
打壓	LL	加上 中國 在 國際 間 打壓 台灣 從不 手軟 ，	
失靈	LL	太陽花 也 凸顯 年輕 世代 從 代議 政治 失靈 切入 ，	
輸掉	LL	今年 初 進一步 輸掉 總統 及 國會 多數 席次 ，	
清新	LL	加上 進入 國會 的 時代 力量 為 政壇 注入 清新 活力 ，	
專制	LL	常 把 面對 專制 中國 的 港 台 處境 對照 警惕 。	
無能	LL	「 美國 也 無能為力 」 云云 。	
變 不 出新 把戲	LL	顯見 它 變 不 出新 把戲 。	
恐嚇	LL	中國 不但 出言 恐嚇 ，	
有志一同	LL	加上 中國 國民黨 有志一同 ，	
威脅	LL	威脅 台灣 選民 ，	
失靈	LL	早已 失靈 ，	
恐嚇	LL	不但 對 台灣 恐嚇 不斷 ，	
虛假	LL	也 暴露 馬英九 「 活路 外交 」 的 虛假 與 自欺欺人 。	
自欺欺人	LL	也 暴露 馬英九 「 活路 外交 」 的 虛假 與 自欺欺人 。	
背離	LL	中國 背離 台灣 民意 ，	
專制	LL	中共 的 威權 專制 特質 ，	
聽信	LL	自己 也 因 聽信 政媒 讕言 而 與 台灣 民意 對立 。	
打壓	LL	加上 它 在 國際 社會 打壓 台灣 毫不 手軟 ，	
傷害	LL	嚴重 傷害 台灣 人民 感情 ，	
反感	LL	對 它 越 反感 ；	
反感	LL	招致 台灣 人民 相當 反感 。	
威脅	LL	和平 的 威脅 一向 不 是 來自 台灣 ，	
障礙	LL	雙方 關係 的 障礙 也 一直 不 在 與人為善 的 我國 。	
威脅	LL	是 台灣 長久以來 既存 的 外部 威脅 ，	
矛盾	LL	如何 在 這 兩 個 矛盾 點中 整理出 最 適 的 生存 發展 之 道 ，	
教訓	LL	必須 記取 這 眼前 的 教訓 ，	
肆意	LL	社會 上 經過 這些 年 政治 權力 者 的 肆意 妄為 ，	
衝擊	LL	經由 衝擊 旅遊業 ，	
對付	LL	做為 對付 台灣 的 政治 籌碼 ，	
恐嚇	LL	從 今年 初 大選 前 恐嚇 ，	
併吞	LL	在 中國 併吞 台灣 的 圖謀 中 ，	
圖謀	LL	在 中國 併吞 台灣 的 圖謀 中 ，	
對付	LL	經由 觀光客 人數 增減 來 對付 台灣 ，	
門戶 洞開	LL	促成 進一步 對 中國 門戶 洞開 或 政經 讓步 ，	
